Group	ROI	12C	13C	18O	14N_12C	28Si	31P	32S	SE	Ratio_13Cx12C	area	axis_major_length	axis_minor_length
red	1	1393.2197802197802	13.714285714285714	46.62637362637363	3526.4175824175823	870.6923076923077	10.989010989010989	140.5934065934066	6415.142857142857	0.009747639243620685	91.0	20.246808373039833	8.3270804245248
red	2	2450.467811158798	71.25321888412017	24.283261802575108	8112.085836909871	330.2360515021459	18.721030042918454	202.41630901287553	3600.5751072961375	0.028255789611631815	233.0	33.10233628463249	9.954565286286284
red	3	1073.8	10.8	75.0	1862.7333333333333	2005.2666666666667	14.8	221.93333333333334	10815.266666666666	0.009957588050894339	15.0	4.618802153517006	4.026578365477734
red	4	870.2941176470588	8.735294117647058	42.14705882352941	931.0	51.14705882352941	3.735294117647059	41.85294117647059	3581.794117647059	0.009937430990062569	34.0	9.317936255025714	4.770106772238717
red	5	875.24	9.293333333333333	44.973333333333336	1093.3066666666666	43.0	3.3733333333333335	42.64	3791.3733333333334	0.010506481760627073	75.0	17.78672139281882	7.259422067968494
red	6	1103.6923076923076	10.346153846153847	50.88461538461539	1171.8461538461538	198.26923076923077	5.153846153846154	226.1153846153846	4256.423076923077	0.009287070602451234	26.0	6.938067515169528	4.804389041927385
red	7	2992.9112903225805	31.693548387096776	34.778225806451616	4349.302419354839	127.43951612903226	3.100806451612903	38.274193548387096	3758.5564516129034	0.010478574913811722	248.0	55.92223857216034	6.058448147213323
red	8	2003.2808988764045	21.3876404494382	33.550561797752806	2943.112359550562	84.53370786516854	2.168539325842697	30.224719101123597	3765.1685393258426	0.010563526836130759	178.0	44.561925740957044	7.0033235287660425
red	9	1423.259842519685	15.440944881889763	35.40157480314961	2871.3543307086616	161.748031496063	3.1811023622047245	45.92125984251968	3493.6456692913384	0.01073256163971212	127.0	36.35141868903201	4.746443637443722
red	10	1295.5823529411764	13.270588235294118	35.92941176470588	2859.8470588235296	163.75294117647059	3.5058823529411764	63.98823529411764	3203.005882352941	0.010139097997797802	170.0	39.698767597997524	5.835919379704515
red	11	1383.468	14.76	36.484	2049.176	85.54	1.648	25.584	3345.044	0.01055621829916151	250.0	50.5933423197779	6.637405586053192
red	12	1866.179856115108	19.07913669064748	32.827338129496404	3250.971223021583	78.35251798561151	1.985611510791367	30.453237410071942	3198.3237410071943	0.010120167448321128	139.0	24.305791802981854	7.581216847573436
red	13	954.2906403940887	9.694581280788178	30.19704433497537	4070.4039408866997	314.2512315270936	2.4679802955665027	44.310344827586206	3141.6748768472908	0.010056773758361481	203.0	54.65021938740528	5.463614382515304
red	14	1469.6170212765958	14.574468085106384	34.50354609929078	2541.9290780141846	127.34042553191489	2.723404255319149	38.765957446808514	3372.9574468085107	0.009819803030520234	141.0	34.423075438735694	5.759207503799541
red	15	2685.4594594594596	28.445945945945947	39.304054054054056	4686.060810810811	649.5540540540541	6.0675675675675675	64.75	5290.006756756757	0.010481553958840605	148.0	26.73365391673933	7.6953869178806125
