Group	ROI	12C	13C	14N_12C	SE	STDEV_12C	STDEV_13C	STDEV_14N_12C	STDEV_SE	Ratio_13Cx12C	area	axis_major_length	axis_minor_length
red	1	2324.1674208144796	2787.8627450980393	3913.494720965309	7955.574660633484	14.705632856783625	17.127811082755386	39.68024498886484	42.00084779306973	0.5453533438999951	663.0	118.70850496920866	7.787770078352744
red	2	1955.4987405541563	2521.9508816120906	2861.8929471032748	7879.633501259445	15.331847025596195	19.428080754824595	34.034195026089535	35.400623421656476	0.5632561155187132	794.0	133.46170586887982	8.200638282464984
red	3	2275.73719376392	2847.7438752783964	3682.977728285078	7388.374164810691	17.146461900141336	20.742438775458012	31.671158258760848	34.92451038581527	0.5558220742700428	449.0	87.695738885163	8.130748099694912
red	4	4108.564814814815	280.962962962963	3294.8796296296296	6999.037037037037	77.39654725467953	6.094054844310194	56.57814090612904	34.49033662682951	0.06400756008091649	108.0	25.032198658471277	5.8305523183096755
red	5	2412.3070707070706	2688.387878787879	3858.2565656565657	8840.634343434343	20.263882588448414	22.315888140349543	44.17884617791555	44.01049660144328	0.5270630581532958	495.0	141.25717354491465	6.702316736761279
red	6	5991.666666666667	313.9866666666667	10075.9	6702.413333333333	103.4884434414101	4.119007287810624	199.5848818033181	41.96335352202938	0.04979447014742326	150.0	22.092118501579417	8.883652283264473
red	7	2083.4209445585216	2437.00205338809	3051.1806981519508	7823.1601642710475	20.11529290803081	24.385503983546542	35.28682521817661	52.7859624062057	0.5391092945273244	487.0	134.09859447428866	7.682974380333583
red	8	3868.546511627907	210.27906976744185	11587.220930232557	5632.790697674419	47.99099839251998	3.280786749999137	165.3792733584262	25.207286220543452	0.0515538273385807	86.0	14.521836004108867	7.52051457912846
red	9	3378.431654676259	407.136690647482	3578.0791366906474	7160.776978417266	76.70412373015738	16.224545547074136	171.31018610350492	53.902850733859474	0.10754968699757124	139.0	38.87243625923652	7.297730534219386
red	10	1949.6056782334385	2044.943217665615	4099.577287066246	6845.864353312303	28.089492542521157	28.12670960334442	59.75547829716179	33.60828194690273	0.5119334550554699	317.0	92.72041960061232	8.655632141710546
red	11	2127.14406779661	2281.8728813559323	3301.3813559322034	8339.78813559322	28.7306915925921	33.7041336045797	50.34464660186574	55.03185316116514	0.5175468608245045	118.0	30.818611366467984	5.426485696946879
red	12	1867.8987341772151	2131.3164556962024	4367.151898734177	8717.012658227848	26.252130608014458	30.75274992128563	45.24348515976161	63.14835157449601	0.5329336768606499	79.0	19.143885033296286	6.1619741744170025
red	13	1553.3887240356082	1800.1157270029673	2795.047477744807	6244.145400593472	19.579652308904926	23.435516190716815	44.115875923578514	34.144536558779635	0.5367864433415241	337.0	65.12673895234067	7.000027470966567
red	14	2146.8533333333335	209.98666666666668	3845.6	5889.76	32.4147274804159	6.054933513412996	61.140790530272554	24.936882742012656	0.08909670010126554	75.0	12.241028035519225	7.802523051357535
red	15	1801.5027322404371	2118.3278688524592	3614.8579234972676	5265.737704918033	15.439803195892011	17.148662687358165	48.271870679934054	24.359517835238048	0.5404131158784881	183.0	47.44170160028824	6.809110819211486
red	16	1842.3763157894737	2227.7552631578947	3605.6157894736843	5290.307894736842	19.148557438784813	23.609846448120628	36.71799583556397	19.112033557572794	0.5473423204991433	380.0	106.41594881954678	5.908289659207045
red	17	1582.1172413793104	1833.9379310344827	4027.731034482759	6315.993103448276	24.952296944394977	29.319439109522445	55.90047658383063	38.62420734786742	0.5368584049357193	145.0	39.50229653794933	5.427797161005564
red	18	1288.2079207920792	1534.079207920792	3333.29702970297	5575.940594059406	35.376123502631835	43.56441197829115	57.088136223146215	56.21886945302836	0.543558871921165	101.0	30.914986465777687	5.356692808597671
red	19	1561.25	1763.0208333333333	2643.7083333333335	5262.222222222223	22.3924868300773	28.254070210906466	37.84599115607421	42.4182077009917	0.5303481339892834	144.0	37.933539157076375	5.622334944525256
red	20	1937.8019801980197	2177.069306930693	3455.5346534653463	5936.831683168317	22.846431222970363	22.942490242532983	91.88773402377707	44.182524762890985	0.5290734885780145	101.0	30.444818357189273	4.741841155975272
