Group	ROI	12C	13C	14N_12C	SE	STDEV_12C	STDEV_13C	STDEV_14N_12C	STDEV_SE	Ratio_13Cx12C	area	axis_major_length	axis_minor_length
red	1	1465.21875	19.3	2364.38125	6877.14375	37.42373356227615	0.6186426674583639	54.514972048880594	25.74529211646489	0.013000846233838407	160.0	24.02353487118114	8.884207747072534
red	2	2782.3306451612902	39.67204301075269	4238.311827956989	8174.137096774193	56.13672239646805	0.9207606887976012	87.44693441622799	43.65751923859416	0.014058116661983169	372.0	49.877236067782796	14.397360307293866
red	3	2820.035087719298	44.42982456140351	5438.587719298245	8059.131578947368	39.72535740821352	0.7482378291120922	93.71759525028247	33.676384583299956	0.015510689054322629	114.0	20.030502148126942	7.391961519974259
red	4	2321.6372282608695	29.36413043478261	3054.728260869565	6276.820652173913	26.538660565301072	0.41421372462169226	49.98153804012511	31.95031071582185	0.012490052515781608	736.0	125.89118002150336	14.148928951611285
red	5	2825.877358490566	45.490566037735846	5342.891509433963	6235.740566037736	57.02470586757614	1.0226060567472157	113.4765238674682	58.141478576327636	0.01584282029799747	212.0	24.151487948615053	11.293238797681173
red	6	3698.815789473684	52.26973684210526	1138.967105263158	5404.585526315789	61.50891233663845	1.082110670726206	13.923084052867367	56.356838707038534	0.013934562801995913	152.0	28.62809419241829	7.831108940077115
red	7	1746.137254901961	19.973856209150327	2396.3202614379084	6162.24183006536	49.192016683924884	0.6486708455093833	44.13912588123258	49.589645948265904	0.011309512795366652	153.0	40.47244689496955	5.192941956295785
red	8	3742.231707317073	58.0609756097561	4383.40243902439	7986.926829268293	58.807369874622324	1.2401122985762998	66.16989080888493	71.67865857650052	0.01527802736631325	82.0	15.564831401085966	7.198645496441007
red	9	2818.061403508772	32.1578947368421	3262.8333333333335	6815.833333333333	45.45727666737322	0.6801022576427667	84.92004814105961	52.66590388993002	0.011282603677771794	114.0	24.710867408205	6.23616920282257
red	10	1292.5238095238096	13.850340136054422	1595.6530612244899	5555.850340136054	31.676416706813825	0.41772848090725256	43.91634065941101	35.98012155984077	0.010602123549107724	147.0	52.343408811056776	3.944643774047323
red	11	3267.358407079646	48.39380530973451	4908.265486725663	6986.615044247787	54.41863803925262	0.8641577211291409	109.72789036454942	52.86699323641864	0.014595121170065123	226.0	22.245533106816087	13.728025287094072
red	12	4717.5	70.03260869565217	229.33695652173913	6242.717391304348	140.753578374199	2.313274909094558	6.1210280353333415	87.12266916015342	0.01462812150218071	92.0	10.930524772151053	10.802488626725513
red	13	2042.6153846153845	29.76923076923077	1222.7692307692307	6778.423076923077	58.43531995390813	1.2419059749491805	38.294572502031365	89.16863176453998	0.014364722913032181	26.0	6.938067515169528	4.804389041927385
red	14	6144.693181818182	86.95454545454545	1469.2045454545455	8097.784090909091	95.88687452453178	1.7733033075551479	43.09389421685488	80.61987771040853	0.013953700411207455	88.0	14.56130871045924	7.866742909909075
